N,Model,Type,Time_s,F1_Score
15,MLP,Centralized,12.324458522023633,0.7525815778603883
15,MLP,Federated,14.450517536140978,0.7540709812108559
15,LSTM,Centralized,459.9458753410727,0.7594108019639935
15,LSTM,Federated,248.75367405219004,0.7583974099554837
30,MLP,Centralized,14.595927445916459,0.6308277830637488
30,MLP,Federated,14.439565832959488,0.6466165413533834
30,LSTM,Centralized,902.9811769700609,0.74206672091131
30,LSTM,Federated,479.9884679649258,0.7505258729490955
60,MLP,Centralized,13.45047835004516,0.18269230769230768
60,MLP,Federated,14.361923639196903,0.1312410841654779
60,LSTM,Centralized,2106.549411020009,0.7271078875793291
60,LSTM,Federated,915.4980156810489,0.7253044654939107
