Model,N,InferenceTime_ms
XGBoost,10,2.2376819979399443
MLP_NN,10,1.1832609889097512
LSTM,10,81.35694003431126
XGBoost,10,1.749224029481411
MLP_NN,10,1.174210978206247
LSTM,10,29.15954397758469
XGBoost,10,1.6727169859223068
MLP_NN,10,1.1100550182163715
LSTM,10,28.980478004086763
XGBoost,10,2.3738410091027617
MLP_NN,10,1.0410039685666561
LSTM,10,28.274543001316488
XGBoost,10,2.267872972879559
MLP_NN,10,1.082475995644927
LSTM,10,28.90517801279202
XGBoost,10,1.3756210100837052
MLP_NN,10,1.115838997066021
LSTM,10,29.095032019540668
XGBoost,10,1.3702469877898693
MLP_NN,10,1.009203027933836
LSTM,10,28.199243010021746
XGBoost,10,1.5164159703999758
MLP_NN,10,0.9900400182232261
LSTM,10,27.339274995028973
XGBoost,10,1.4144640299491584
MLP_NN,10,0.9771849727258086
LSTM,10,27.374501049052924
XGBoost,10,1.3639309909194708
MLP_NN,10,0.9678289643488824
LSTM,10,27.824699005577713
XGBoost,10,1.3624739949591458
MLP_NN,10,0.9844829910434783
LSTM,10,27.228282007854432
XGBoost,10,1.2984679779037833
MLP_NN,10,0.9877340053208172
LSTM,10,26.962031959556043
XGBoost,10,1.3483379734680057
MLP_NN,10,0.9545779903419316
LSTM,10,27.116217010188848
XGBoost,10,1.3204750139266253
MLP_NN,10,0.9995030122809112
LSTM,10,27.28549001039937
XGBoost,10,1.3404120109044015
MLP_NN,10,0.9431839571334422
LSTM,10,27.12976699694991
XGBoost,10,1.3369480147957802
MLP_NN,10,0.9641509968787432
LSTM,10,27.56847400451079
XGBoost,10,1.3750559883192182
MLP_NN,10,0.994920963421464
LSTM,10,29.401979001704603
XGBoost,10,2.3459469666704535
MLP_NN,10,1.655319007113576
LSTM,10,28.791752993129194
XGBoost,10,1.3630769681185484
MLP_NN,10,0.9773739730007946
LSTM,10,27.483737969305366
XGBoost,10,1.307932019699365
MLP_NN,10,0.9888630011118948
LSTM,10,28.053832007572055
XGBoost,10,1.3610959867946804
MLP_NN,10,0.9958090377040207
LSTM,10,27.949588955380023
XGBoost,10,1.3260800042189658
MLP_NN,10,0.9569260291755199
LSTM,10,27.53409097203985
XGBoost,10,1.4889519661664963
MLP_NN,10,0.9863250306807458
LSTM,10,27.47456298675388
XGBoost,10,1.3292250223457813
MLP_NN,10,0.9923549951054156
LSTM,10,26.98853804031387
XGBoost,10,1.2954419944435358
MLP_NN,10,0.9910620283335447
LSTM,10,27.17243495862931
XGBoost,10,1.2892310041934252
MLP_NN,10,0.9990920079872012
LSTM,10,27.297441964037716
XGBoost,10,1.2810599873773754
MLP_NN,10,0.983749981969595
LSTM,10,27.067744988016784
XGBoost,10,1.4106050366535783
MLP_NN,10,0.9591620182618499
LSTM,10,27.330156008247286
XGBoost,10,1.3223510468378663
MLP_NN,10,0.9684399701654911
LSTM,10,28.834080032538623
XGBoost,10,1.4321040362119675
MLP_NN,10,1.0186730069108307
LSTM,10,27.407859975937754
XGBoost,10,1.432366028893739
MLP_NN,10,1.0064640082418919
LSTM,10,27.517499984242022
XGBoost,10,1.3646450242958963
MLP_NN,10,1.1197180137969553
LSTM,10,28.074486006516963
XGBoost,10,1.388086995575577
MLP_NN,10,1.0161650134250522
LSTM,10,27.894067985471338
XGBoost,10,1.3119140057824552
MLP_NN,10,1.001060998532921
LSTM,10,27.406328998040408
XGBoost,10,1.3272520154714584
MLP_NN,10,0.9672110318206251
LSTM,10,27.594209008384496
XGBoost,10,1.413911988493055
MLP_NN,10,0.9858699631877244
LSTM,10,27.68496097996831
XGBoost,10,1.307489990722388
MLP_NN,10,0.9994740248657763
LSTM,10,28.065131045877934
XGBoost,10,1.3541600201278925
MLP_NN,10,0.9741539834067225
LSTM,10,27.42110099643469
XGBoost,10,1.341268012765795
MLP_NN,10,0.975797011051327
LSTM,10,27.274146035779268
XGBoost,10,1.326963014435023
MLP_NN,10,0.9701279923319817
LSTM,10,27.220630960073322
XGBoost,10,1.3446270022541285
MLP_NN,10,0.9921779856085777
LSTM,10,30.716994020622224
XGBoost,10,1.4092189958319068
MLP_NN,10,1.019251998513937
LSTM,10,27.711011993233114
XGBoost,10,1.3794180122204125
MLP_NN,10,1.012610038742423
LSTM,10,27.724921994376928
XGBoost,10,1.3542450033128262
MLP_NN,10,0.9944039629772305
LSTM,10,31.906951975543052
XGBoost,10,1.3412280241027474
MLP_NN,10,1.0027189855463803
LSTM,10,27.65277703292668
XGBoost,10,1.3708219630643725
MLP_NN,10,1.0100919753313065
LSTM,10,27.68163097789511
XGBoost,10,1.3141779927536845
MLP_NN,10,1.0017540189437568
LSTM,10,27.8893590439111
XGBoost,10,1.352110004518181
MLP_NN,10,1.018734008539468
LSTM,10,27.80397399328649
XGBoost,10,1.3211670448072255
MLP_NN,10,0.9958429727703333
LSTM,10,31.730515998788178
XGBoost,10,1.32669199956581
MLP_NN,10,1.002018980216235
LSTM,10,27.34295598929748
XGBoost,10,1.4909689780324697
MLP_NN,10,1.039345981553197
LSTM,10,27.341960987541825
XGBoost,10,1.33076700149104
MLP_NN,10,0.9824029984883964
LSTM,10,27.177345007658005
XGBoost,10,1.2920309673063457
